node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDX2	SOX3	9606.ENSP00000370408	9606.ENSP00000359567	0	0	0	0	0	0.081	0	0.452	0.475
CDX2	SOX21	9606.ENSP00000370408	9606.ENSP00000366144	0	0	0	0	0	0.081	0	0.411	0.436
CDX2	GATA3	9606.ENSP00000370408	9606.ENSP00000368632	0	0	0	0	0.063	0.090	0	0.649	0.675
CDX2	FOXA2	9606.ENSP00000370408	9606.ENSP00000400341	0	0	0	0	0.069	0.068	0	0.637	0.658
CDX2	EOMES	9606.ENSP00000370408	9606.ENSP00000388620	0	0	0	0	0	0.182	0	0.753	0.789
CDX4	SOX4	9606.ENSP00000362613	9606.ENSP00000244745	0	0	0	0	0	0.081	0	0.580	0.597
CDX4	T	9606.ENSP00000362613	9606.ENSP00000296946	0	0	0	0	0.065	0.133	0	0.434	0.501
CLOCK	HLF	9606.ENSP00000308741	9606.ENSP00000226067	0	0	0	0	0.062	0.141	0	0.696	0.734
CLOCK	RARA	9606.ENSP00000308741	9606.ENSP00000254066	0	0	0	0	0	0.400	0	0.396	0.623
CLOCK	USF1	9606.ENSP00000308741	9606.ENSP00000357000	0	0	0	0	0	0.130	0	0.338	0.400
CLOCK	HIF1A	9606.ENSP00000308741	9606.ENSP00000437955	0	0	0	0.578	0	0.247	0	0.510	0.402
CLOCK	NPAS2	9606.ENSP00000308741	9606.ENSP00000338283	0	0	0	0.932	0	0.408	0.900	0.977	0.942
DMRT1	HNF1A	9606.ENSP00000371711	9606.ENSP00000257555	0	0	0	0	0	0	0	0.467	0.467
DMRT1	GATA4	9606.ENSP00000371711	9606.ENSP00000334458	0	0	0	0	0	0.059	0.900	0.565	0.955
DMRT1	SOX3	9606.ENSP00000371711	9606.ENSP00000359567	0	0	0	0	0.062	0.072	0	0.752	0.765
DMRT1	SOX10	9606.ENSP00000371711	9606.ENSP00000380093	0	0	0	0	0	0.072	0	0.440	0.458
E2F3	GSC	9606.ENSP00000262904	9606.ENSP00000238558	0	0	0	0	0.062	0	0.900	0	0.902
E2F3	ELF1	9606.ENSP00000262904	9606.ENSP00000239882	0	0	0	0	0	0	0.900	0.062	0.902
E2F3	YY1	9606.ENSP00000262904	9606.ENSP00000262238	0	0	0	0	0	0.263	0.900	0.523	0.961
E2F3	HIF1A	9606.ENSP00000262904	9606.ENSP00000437955	0	0	0	0	0	0.057	0	0.422	0.432
E2F3	USF1	9606.ENSP00000262904	9606.ENSP00000357000	0	0	0	0	0	0.345	0	0.220	0.467
E2F3	MYCN	9606.ENSP00000262904	9606.ENSP00000281043	0	0	0	0	0.062	0	0	0.506	0.516
E2F4	SMAD2	9606.ENSP00000368686	9606.ENSP00000262160	0	0	0	0	0.057	0.213	0.600	0.721	0.906
E2F4	YY1	9606.ENSP00000368686	9606.ENSP00000262238	0	0	0	0	0.062	0.111	0	0.522	0.566
E2F4	MYCN	9606.ENSP00000368686	9606.ENSP00000281043	0	0	0	0	0	0	0	0.433	0.433
E2F4	SMAD3	9606.ENSP00000368686	9606.ENSP00000332973	0	0	0	0	0.062	0.270	0.900	0.988	0.999
E2F4	GATA2	9606.ENSP00000368686	9606.ENSP00000345681	0	0	0	0	0	0.076	0	0.602	0.616
E2F4	GABPA	9606.ENSP00000368686	9606.ENSP00000346886	0	0	0	0	0.062	0.071	0	0.394	0.426
E2F4	ELK4	9606.ENSP00000368686	9606.ENSP00000350681	0	0	0	0	0	0.071	0	0.494	0.510
E2F4	USF1	9606.ENSP00000368686	9606.ENSP00000357000	0	0	0	0	0	0.078	0	0.395	0.418
E2F4	GATA1	9606.ENSP00000368686	9606.ENSP00000365858	0	0	0	0	0	0.139	0	0.401	0.462
E2F7	HIF1A	9606.ENSP00000323246	9606.ENSP00000437955	0	0	0	0	0	0.316	0	0.497	0.642
ELF1	GABPA	9606.ENSP00000239882	9606.ENSP00000346886	0	0	0	0.604	0.123	0.139	0	0.775	0.451
ELK1	ELK4	9606.ENSP00000483056	9606.ENSP00000350681	0	0	0	0.808	0	0	0.800	0.308	0.810
EOMES	NANOG	9606.ENSP00000388620	9606.ENSP00000229307	0	0	0	0	0.063	0.152	0	0.668	0.713
EOMES	GSC	9606.ENSP00000388620	9606.ENSP00000238558	0	0	0	0	0.062	0.100	0	0.388	0.438
EOMES	SMAD2	9606.ENSP00000388620	9606.ENSP00000262160	0	0	0	0	0.062	0.076	0	0.975	0.978
EOMES	GATA6	9606.ENSP00000388620	9606.ENSP00000269216	0	0	0	0	0	0.119	0	0.663	0.690
EOMES	GATA4	9606.ENSP00000388620	9606.ENSP00000334458	0	0	0	0	0.049	0.119	0	0.625	0.658
EOMES	GATA2	9606.ENSP00000388620	9606.ENSP00000345681	0	0	0	0	0.052	0.119	0	0.342	0.402
EOMES	SOX3	9606.ENSP00000388620	9606.ENSP00000359567	0	0	0	0	0.062	0.062	0	0.445	0.469
EOMES	FOXH1	9606.ENSP00000388620	9606.ENSP00000366534	0	0	0	0	0.062	0.062	0	0.504	0.526
EOMES	GATA3	9606.ENSP00000388620	9606.ENSP00000368632	0	0	0	0	0.052	0.119	0	0.740	0.764
EOMES	FOXA2	9606.ENSP00000388620	9606.ENSP00000400341	0	0	0	0	0	0.138	0	0.635	0.672
ETV1	NKX3-1	9606.ENSP00000405327	9606.ENSP00000370253	0	0	0	0	0.062	0.072	0	0.504	0.530
ETV4	NKX3-1	9606.ENSP00000321835	9606.ENSP00000370253	0	0	0	0	0	0.072	0	0.392	0.411
ETV4	SMAD3	9606.ENSP00000321835	9606.ENSP00000332973	0	0	0	0	0.060	0.060	0	0.458	0.480
ETV4	HIF1A	9606.ENSP00000321835	9606.ENSP00000437955	0	0	0	0	0	0.312	0	0.480	0.627
ETV4	USF1	9606.ENSP00000321835	9606.ENSP00000357000	0	0	0	0	0	0	0	0.749	0.749
FLI1	GATA2	9606.ENSP00000433488	9606.ENSP00000345681	0	0	0	0	0.082	0.060	0.800	0.471	0.896
FLI1	GATA1	9606.ENSP00000433488	9606.ENSP00000365858	0	0	0	0	0.062	0.681	0	0.674	0.894
FOXA2	NANOG	9606.ENSP00000400341	9606.ENSP00000229307	0	0	0	0	0.062	0.063	0	0.742	0.754
FOXA2	GSC	9606.ENSP00000400341	9606.ENSP00000238558	0	0	0	0	0	0.291	0	0.447	0.591
FOXA2	NEUROG3	9606.ENSP00000400341	9606.ENSP00000242462	0	0	0	0	0.048	0.057	0	0.702	0.710
FOXA2	SOX4	9606.ENSP00000400341	9606.ENSP00000244745	0	0	0	0	0.062	0.168	0	0.329	0.431
FOXA2	HNF1A	9606.ENSP00000400341	9606.ENSP00000257555	0	0	0	0	0.097	0.059	0	0.642	0.669
FOXA2	SMAD2	9606.ENSP00000400341	9606.ENSP00000262160	0	0	0	0	0	0.106	0	0.490	0.524
FOXA2	GATA6	9606.ENSP00000400341	9606.ENSP00000269216	0	0	0	0	0.143	0.149	0	0.789	0.832
FOXA2	T	9606.ENSP00000400341	9606.ENSP00000296946	0	0	0	0	0	0.145	0	0.669	0.705
FOXA2	TBX5	9606.ENSP00000400341	9606.ENSP00000309913	0	0	0	0	0	0.138	0	0.374	0.437
FOXA2	SMAD3	9606.ENSP00000400341	9606.ENSP00000332973	0	0	0	0	0	0.106	0	0.483	0.519
FOXA2	GATA4	9606.ENSP00000400341	9606.ENSP00000334458	0	0	0	0	0.100	0.368	0	0.809	0.882
FOXA2	GATA2	9606.ENSP00000400341	9606.ENSP00000345681	0	0	0	0	0.055	0.149	0	0.518	0.579
FOXA2	USF1	9606.ENSP00000400341	9606.ENSP00000357000	0	0	0	0	0.062	0.076	0	0.430	0.462
FOXA2	SOX3	9606.ENSP00000400341	9606.ENSP00000359567	0	0	0	0	0.062	0.168	0	0.604	0.664
FOXA2	GATA1	9606.ENSP00000400341	9606.ENSP00000365858	0	0	0	0	0	0.149	0	0.401	0.469
FOXA2	GATA3	9606.ENSP00000400341	9606.ENSP00000368632	0	0	0	0	0.055	0.149	0	0.457	0.525
FOXA2	SOX10	9606.ENSP00000400341	9606.ENSP00000380093	0	0	0	0	0.062	0.168	0	0.455	0.538
FOXA2	ONECUT2	9606.ENSP00000400341	9606.ENSP00000419185	0	0	0	0	0.085	0	0	0.411	0.438
FOXA2	HIF1A	9606.ENSP00000400341	9606.ENSP00000437955	0	0	0	0	0.062	0.212	0	0.940	0.952
FOXA3	HNF1A	9606.ENSP00000304004	9606.ENSP00000257555	0	0	0	0	0.164	0.059	0.900	0.591	0.963
FOXA3	GATA6	9606.ENSP00000304004	9606.ENSP00000269216	0	0	0	0	0.084	0.149	0	0.546	0.615
FOXA3	GATA4	9606.ENSP00000304004	9606.ENSP00000334458	0	0	0	0	0.096	0.149	0	0.583	0.652
FOXH1	NANOG	9606.ENSP00000366534	9606.ENSP00000229307	0	0	0	0	0.110	0.073	0	0.383	0.447
FOXH1	GSC	9606.ENSP00000366534	9606.ENSP00000238558	0	0	0	0	0.062	0.182	0	0.510	0.591
FOXH1	SMAD2	9606.ENSP00000366534	9606.ENSP00000262160	0	0	0	0	0.062	0.894	0.900	0.990	0.999
FOXH1	GATA6	9606.ENSP00000366534	9606.ENSP00000269216	0	0	0	0	0	0.149	0	0.387	0.456
FOXH1	SMAD3	9606.ENSP00000366534	9606.ENSP00000332973	0	0	0	0	0.062	0.718	0.600	0.922	0.990
FOXH1	GATA4	9606.ENSP00000366534	9606.ENSP00000334458	0	0	0	0	0	0.149	0	0.434	0.497
FOXH1	TBX20	9606.ENSP00000366534	9606.ENSP00000386170	0	0	0	0	0	0.062	0	0.412	0.425
GABPA	YY1	9606.ENSP00000346886	9606.ENSP00000262238	0	0	0	0	0.206	0.282	0	0.517	0.701
GABPA	USF1	9606.ENSP00000346886	9606.ENSP00000357000	0	0	0	0	0	0	0	0.437	0.437
GATA1	USF2	9606.ENSP00000365858	9606.ENSP00000222305	0	0	0	0	0	0.060	0	0.413	0.424
GATA1	NANOG	9606.ENSP00000365858	9606.ENSP00000229307	0	0	0	0	0	0	0	0.422	0.422
GATA1	YY1	9606.ENSP00000365858	9606.ENSP00000262238	0	0	0	0	0	0.078	0	0.724	0.735
GATA1	HOXA9	9606.ENSP00000365858	9606.ENSP00000343619	0	0	0	0	0	0.075	0	0.461	0.480
GATA1	USF1	9606.ENSP00000365858	9606.ENSP00000357000	0	0	0	0	0	0.060	0	0.551	0.560
GATA1	GATA3	9606.ENSP00000365858	9606.ENSP00000368632	0	0	0	0.842	0.077	0	0.650	0.739	0.701
GATA1	SOX6	9606.ENSP00000365858	9606.ENSP00000379644	0	0	0	0	0	0.143	0	0.757	0.783
GATA2	USF2	9606.ENSP00000345681	9606.ENSP00000222305	0	0	0	0	0	0.060	0	0.391	0.403
GATA2	NANOG	9606.ENSP00000345681	9606.ENSP00000229307	0	0	0	0	0	0	0	0.528	0.528
GATA2	SOX4	9606.ENSP00000345681	9606.ENSP00000244745	0	0	0	0	0	0.143	0	0.335	0.405
GATA2	RARA	9606.ENSP00000345681	9606.ENSP00000254066	0	0	0	0	0.085	0.236	0	0.373	0.524
GATA2	YY1	9606.ENSP00000345681	9606.ENSP00000262238	0	0	0	0	0.049	0.078	0	0.531	0.553
GATA2	MYCN	9606.ENSP00000345681	9606.ENSP00000281043	0	0	0	0	0.062	0	0	0.433	0.446
GATA2	PGR	9606.ENSP00000345681	9606.ENSP00000325120	0	0	0	0	0.062	0.070	0	0.619	0.639
GATA2	HOXA9	9606.ENSP00000345681	9606.ENSP00000343619	0	0	0	0	0.088	0.075	0	0.527	0.566
GATA2	SOX3	9606.ENSP00000345681	9606.ENSP00000359567	0	0	0	0	0.052	0.143	0	0.353	0.429
GATA2	USF1	9606.ENSP00000345681	9606.ENSP00000357000	0	0	0	0	0.062	0.060	0	0.419	0.443
GATA2	HIF1A	9606.ENSP00000345681	9606.ENSP00000437955	0	0	0	0	0	0	0	0.473	0.474
GATA2	TBX20	9606.ENSP00000345681	9606.ENSP00000386170	0	0	0	0	0.062	0.197	0	0.366	0.481
GATA2	GATA3	9606.ENSP00000345681	9606.ENSP00000368632	0	0	0	0.961	0.223	0	0.650	0.745	0.724
GATA3	USF2	9606.ENSP00000368632	9606.ENSP00000222305	0	0	0	0	0	0.060	0	0.472	0.483
GATA3	NANOG	9606.ENSP00000368632	9606.ENSP00000229307	0	0	0	0	0	0	0	0.515	0.515
GATA3	SOX4	9606.ENSP00000368632	9606.ENSP00000244745	0	0	0	0	0	0.347	0	0.406	0.596
GATA3	RARA	9606.ENSP00000368632	9606.ENSP00000254066	0	0	0	0	0.064	0.155	0	0.322	0.417
GATA3	SMAD2	9606.ENSP00000368632	9606.ENSP00000262160	0	0	0	0	0.064	0.172	0	0.399	0.494
GATA3	YY1	9606.ENSP00000368632	9606.ENSP00000262238	0	0	0	0	0.062	0.078	0	0.665	0.685
GATA3	MYCN	9606.ENSP00000368632	9606.ENSP00000281043	0	0	0	0	0.063	0	0	0.412	0.425
GATA3	T	9606.ENSP00000368632	9606.ENSP00000296946	0	0	0	0	0.062	0.119	0	0.569	0.612
GATA3	PGR	9606.ENSP00000368632	9606.ENSP00000325120	0	0	0	0	0.053	0.070	0.600	0.611	0.844
GATA3	SMAD3	9606.ENSP00000368632	9606.ENSP00000332973	0	0	0	0	0.064	0.172	0.900	0.958	0.996
GATA3	USF1	9606.ENSP00000368632	9606.ENSP00000357000	0	0	0	0	0.062	0.060	0	0.449	0.472
GATA3	SOX3	9606.ENSP00000368632	9606.ENSP00000359567	0	0	0	0	0.066	0.143	0	0.365	0.447
GATA3	REPIN1	9606.ENSP00000368632	9606.ENSP00000417291	0	0	0	0	0	0.298	0	0.220	0.429
GATA3	TBX20	9606.ENSP00000368632	9606.ENSP00000386170	0	0	0	0	0.062	0.197	0	0.367	0.481
GATA3	SOX10	9606.ENSP00000368632	9606.ENSP00000380093	0	0	0	0	0	0.143	0	0.436	0.496
GATA3	HIF1A	9606.ENSP00000368632	9606.ENSP00000437955	0	0	0	0	0	0.270	0	0.338	0.496
GATA4	USF2	9606.ENSP00000334458	9606.ENSP00000222305	0	0	0	0	0	0.060	0	0.432	0.443
GATA4	NANOG	9606.ENSP00000334458	9606.ENSP00000229307	0	0	0	0	0	0	0	0.829	0.829
GATA4	GSC	9606.ENSP00000334458	9606.ENSP00000238558	0	0	0	0	0.130	0.117	0	0.293	0.409
GATA4	NEUROG3	9606.ENSP00000334458	9606.ENSP00000242462	0	0	0	0	0	0	0	0.526	0.526
GATA4	HNF1A	9606.ENSP00000334458	9606.ENSP00000257555	0	0	0	0	0.062	0	0	0.743	0.748
GATA4	SMAD2	9606.ENSP00000334458	9606.ENSP00000262160	0	0	0	0	0.064	0.220	0	0.435	0.551
GATA4	YY1	9606.ENSP00000334458	9606.ENSP00000262238	0	0	0	0	0	0.078	0	0.653	0.667
GATA4	T	9606.ENSP00000334458	9606.ENSP00000296946	0	0	0	0	0.062	0.119	0	0.658	0.692
GATA4	TBX5	9606.ENSP00000334458	9606.ENSP00000309913	0	0	0	0	0.062	0.329	0	0.993	0.995
GATA4	SMAD3	9606.ENSP00000334458	9606.ENSP00000332973	0	0	0	0	0.064	0.220	0	0.541	0.636
GATA4	SOX10	9606.ENSP00000334458	9606.ENSP00000380093	0	0	0	0	0	0.143	0	0.408	0.471
GATA4	SOX6	9606.ENSP00000334458	9606.ENSP00000379644	0	0	0	0	0	0.143	0	0.417	0.479
GATA4	SOX3	9606.ENSP00000334458	9606.ENSP00000359567	0	0	0	0	0	0.143	0	0.573	0.618
GATA4	TBX20	9606.ENSP00000334458	9606.ENSP00000386170	0	0	0	0	0.130	0.247	0	0.911	0.937
GATA6	NANOG	9606.ENSP00000269216	9606.ENSP00000229307	0	0	0	0	0	0	0	0.801	0.801
GATA6	NEUROG3	9606.ENSP00000269216	9606.ENSP00000242462	0	0	0	0	0	0	0	0.501	0.501
GATA6	SOX4	9606.ENSP00000269216	9606.ENSP00000244745	0	0	0	0	0	0.143	0	0.352	0.421
GATA6	HNF1A	9606.ENSP00000269216	9606.ENSP00000257555	0	0	0	0	0.112	0	0	0.524	0.559
GATA6	SMAD2	9606.ENSP00000269216	9606.ENSP00000262160	0	0	0	0	0.053	0.149	0	0.520	0.580
GATA6	SOX3	9606.ENSP00000269216	9606.ENSP00000359567	0	0	0	0	0	0.143	0	0.528	0.578
GATA6	T	9606.ENSP00000269216	9606.ENSP00000296946	0	0	0	0	0.062	0.119	0	0.596	0.637
GATA6	TBX20	9606.ENSP00000269216	9606.ENSP00000386170	0	0	0	0	0.097	0.141	0	0.665	0.717
GATA6	TBX5	9606.ENSP00000269216	9606.ENSP00000309913	0	0	0	0	0.049	0.119	0	0.764	0.786
GSC	SMAD2	9606.ENSP00000238558	9606.ENSP00000262160	0	0	0	0	0	0.144	0	0.500	0.554
GSC	T	9606.ENSP00000238558	9606.ENSP00000296946	0	0	0	0	0.062	0.182	0	0.642	0.701
HIF1A	NANOG	9606.ENSP00000437955	9606.ENSP00000229307	0	0	0	0	0	0	0.900	0.559	0.954
HIF1A	HNF1A	9606.ENSP00000437955	9606.ENSP00000257555	0	0	0	0	0.062	0	0	0.508	0.518
HIF1A	SMAD2	9606.ENSP00000437955	9606.ENSP00000262160	0	0	0	0	0	0.057	0	0.526	0.534
HIF1A	YY1	9606.ENSP00000437955	9606.ENSP00000262238	0	0	0	0	0.062	0.058	0	0.558	0.576
HIF1A	MYCN	9606.ENSP00000437955	9606.ENSP00000281043	0	0	0	0	0	0	0	0.502	0.502
HIF1A	PGR	9606.ENSP00000437955	9606.ENSP00000325120	0	0	0	0	0	0.108	0	0.488	0.524
HIF1A	SMAD3	9606.ENSP00000437955	9606.ENSP00000332973	0	0	0	0	0	0.772	0.900	0.977	0.999
HIF1A	MAX	9606.ENSP00000437955	9606.ENSP00000351490	0	0	0	0	0	0.298	0	0.706	0.785
HLF	MAX	9606.ENSP00000226067	9606.ENSP00000351490	0	0	0	0	0	0.102	0	0.643	0.666
HLF	NPAS2	9606.ENSP00000226067	9606.ENSP00000338283	0	0	0	0	0.062	0.141	0	0.695	0.733
HNF1A	NEUROG3	9606.ENSP00000257555	9606.ENSP00000242462	0	0	0	0	0	0	0	0.523	0.523
HOXA9	SOX4	9606.ENSP00000343619	9606.ENSP00000244745	0	0	0	0	0	0.056	0	0.439	0.447
HOXA9	RARA	9606.ENSP00000343619	9606.ENSP00000254066	0	0	0	0	0	0.070	0	0.390	0.409
HOXA9	TBX5	9606.ENSP00000343619	9606.ENSP00000309913	0	0	0	0	0	0.155	0	0.384	0.458
HOXD10	TBX5	9606.ENSP00000249501	9606.ENSP00000309913	0	0	0	0	0.062	0.155	0	0.479	0.551
MAX	MNT	9606.ENSP00000351490	9606.ENSP00000174618	0	0	0	0.712	0	0.761	0	0.777	0.814
MAX	NANOG	9606.ENSP00000351490	9606.ENSP00000229307	0	0	0	0	0	0.373	0	0.095	0.408
MAX	SMAD2	9606.ENSP00000351490	9606.ENSP00000262160	0	0	0	0	0	0.058	0.900	0.068	0.904
MAX	YY1	9606.ENSP00000351490	9606.ENSP00000262238	0	0	0	0	0.073	0.282	0	0.242	0.452
MAX	MYCN	9606.ENSP00000351490	9606.ENSP00000281043	0	0	0	0.702	0	0.908	0	0.901	0.932
MAX	SMAD3	9606.ENSP00000351490	9606.ENSP00000332973	0	0	0	0	0	0.643	0.900	0.113	0.965
MNT	USF1	9606.ENSP00000174618	9606.ENSP00000357000	0	0	0	0	0.059	0	0	0.453	0.463
MNT	MYCN	9606.ENSP00000174618	9606.ENSP00000281043	0	0	0	0	0	0.061	0	0.516	0.526
MYCN	NANOG	9606.ENSP00000281043	9606.ENSP00000229307	0	0	0	0	0.061	0	0	0.565	0.574
MYCN	USF1	9606.ENSP00000281043	9606.ENSP00000357000	0	0	0	0	0.062	0.063	0	0.473	0.496
MYCN	SOX10	9606.ENSP00000281043	9606.ENSP00000380093	0	0	0	0	0	0.057	0	0.504	0.513
NANOG	YY1	9606.ENSP00000229307	9606.ENSP00000262238	0	0	0	0	0	0.077	0	0.431	0.452
NANOG	SOX6	9606.ENSP00000229307	9606.ENSP00000379644	0	0	0	0	0.062	0.146	0	0.376	0.457
NANOG	SMAD3	9606.ENSP00000229307	9606.ENSP00000332973	0	0	0	0	0	0	0	0.475	0.475
NANOG	SOX4	9606.ENSP00000229307	9606.ENSP00000244745	0	0	0	0	0.080	0.152	0	0.425	0.513
NANOG	NEUROG3	9606.ENSP00000229307	9606.ENSP00000242462	0	0	0	0	0.068	0	0	0.511	0.525
NANOG	TBX5	9606.ENSP00000229307	9606.ENSP00000309913	0	0	0	0	0	0.152	0	0.479	0.539
NANOG	SOX10	9606.ENSP00000229307	9606.ENSP00000380093	0	0	0	0	0.062	0.152	0	0.570	0.628
NANOG	SOX3	9606.ENSP00000229307	9606.ENSP00000359567	0	0	0	0	0.062	0.152	0	0.647	0.695
NANOG	T	9606.ENSP00000229307	9606.ENSP00000296946	0	0	0	0	0.062	0.152	0	0.692	0.734
NANOG	SOX21	9606.ENSP00000229307	9606.ENSP00000366144	0	0	0	0	0.062	0.518	0	0.531	0.770
NANOG	SMAD2	9606.ENSP00000229307	9606.ENSP00000262160	0	0	0	0	0.069	0	0.600	0.734	0.892
NEUROG3	SOX10	9606.ENSP00000242462	9606.ENSP00000380093	0	0	0	0	0	0.073	0	0.500	0.517
NEUROG3	SOX3	9606.ENSP00000242462	9606.ENSP00000359567	0	0	0	0	0	0.073	0	0.506	0.522
NKX3-1	TBX20	9606.ENSP00000370253	9606.ENSP00000386170	0	0	0	0	0	0.212	0	0.296	0.422
NPAS2	RARA	9606.ENSP00000338283	9606.ENSP00000254066	0	0	0	0	0	0.400	0	0.094	0.434
RARA	YY1	9606.ENSP00000254066	9606.ENSP00000262238	0	0	0	0	0	0.076	0.600	0.187	0.673
SIX2	SOX21	9606.ENSP00000304502	9606.ENSP00000366144	0	0	0	0	0.064	0.212	0	0.270	0.414
SMAD2	SOX10	9606.ENSP00000262160	9606.ENSP00000380093	0	0	0	0	0	0.070	0	0.520	0.534
SMAD2	T	9606.ENSP00000262160	9606.ENSP00000296946	0	0	0	0	0	0.076	0	0.601	0.616
SMAD2	YY1	9606.ENSP00000262160	9606.ENSP00000262238	0	0	0	0	0.062	0.487	0	0.277	0.622
SMAD2	SMAD3	9606.ENSP00000262160	9606.ENSP00000332973	0	0	0	0.984	0.114	0.898	0.900	0.991	0.990
SMAD3	YY1	9606.ENSP00000332973	9606.ENSP00000262238	0	0	0	0	0.056	0.487	0	0.334	0.649
SOX10	YY1	9606.ENSP00000380093	9606.ENSP00000262238	0	0	0	0	0	0.101	0	0.510	0.541
SOX3	T	9606.ENSP00000359567	9606.ENSP00000296946	0	0	0	0	0.062	0.062	0	0.406	0.432
USF1	USF2	9606.ENSP00000357000	9606.ENSP00000222305	0	0	0	0.939	0.062	0.885	0.800	0.989	0.977
USF1	YY1	9606.ENSP00000357000	9606.ENSP00000262238	0	0	0	0	0	0.076	0	0.607	0.622
USF2	YY1	9606.ENSP00000222305	9606.ENSP00000262238	0	0	0	0	0	0.076	0	0.631	0.645
